Vec 1,Vec 2,Subj Det,Reduce Dim,Two Stage F1,NB F1,SVC F1,Two Stage Elaps,NB Elaps,SVC Elaps
diffposneg,count,aggregate,True,0.52,0.52,0.906,0m:16s,0m:6s,0m:9s
diffposneg,count,aggregate,False,0.731,0.539,0.731,5m:1s,0m:6s,5m:16s
diffposneg,count,filter,True,0.519,0.531,0.887,0m:7s,0m:9s,0m:2s
diffposneg,count,filter,False,0.75,0.535,0.75,5m:3s,0m:9s,8m:34s
diffposneg,tfidf,aggregate,True,0.49,0.519,0.9,0m:16s,0m:6s,0m:9s
diffposneg,tfidf,aggregate,False,0.829,0.487,0.829,5m:50s,0m:6s,6m:24s
diffposneg,tfidf,filter,True,0.5,0.532,0.896,0m:7s,0m:9s,0m:2s
diffposneg,tfidf,filter,False,0.866,0.54,0.866,5m:32s,0m:9s,5m:25s
count,tfidf,aggregate,True,0.814,0.814,0.898,0m:4s,0m:4s,0m:9s
count,tfidf,aggregate,False,0.812,0.814,0.829,0m:4s,0m:4s,5m:58s
count,tfidf,filter,True,0.845,0.845,0.896,0m:2s,0m:7s,0m:2s
count,tfidf,filter,False,0.85,0.845,0.866,0m:5s,0m:7s,5m:31s
